zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
早期诊断,early diagnosis,Early diagnosis,Early diagnosis,Early diagnosis,0.999999979,0.999999979,0.999999979
治疗性诊断,therapeutic diagnosis,Therapeutic diagnosis,therapeutic diagnosis,Therapeutic Diagnosis,0.999999984,1,0.999999984
死亡诊断,postmortem diagnosis,Diagnosis of death,Death diagnosis,Death Diagnosis,0.68291115,0.768247562,0.768247562
诊断偏倚,diagnostic bias,Diagnosis,Diagnostic bias,Diagnosis of dependency.,0.663860729,0.999999987,0.594968444
确定偏倚,ascertainment bias,Determination of bias,Determination of Bias,Confirm the dependency.,0.652088336,0.652088336,0.273668803
就诊偏倚,Berkson bias,Medical bias,Clinical bias,Interviews are confident.,0.76869831,0.77274644,0.313544404
Berkson偏倚,Berkson bias,Berkson's partial.,Berkson bias,Berkson is overwhelmed.,0.3188359,1,0.283846535
社会诊断,community diagnosis,Social diagnosis,Social diagnosis,Social Diagnosis,0.858347421,0.858347421,0.858347421
公共卫生诊断,diagnosis of public health,Public health diagnosis,Public health diagnosis,Public Health Diagnosis,0.968166826,0.968166826,0.968166826
流行病学与社会学诊断,epidemiological and sociological diagnosis,Epidemiology and sociological diagnosis,Epidemiology and Sociology Diagnosis,Epidemiology and Sociological Diagnosis,0.956143749,0.862656969,0.956143749
行为学诊断,behaviorological diagnosis,Behavioral diagnosis,Behavioural diagnosis,Behavioral Diagnosis,0.864312345,0.856459506,0.864312345
教育学诊断,educationological diagnosis,Educational diagnostics,Educational diagnosis,Educational diagnosis,0.528779084,0.817009002,0.817009002
健康教育诊断,health educational diagnosis,Diagnosis of health education,Diagnosis of Health Education,Diagnosis of Health Education,0.947175294,0.947175294,0.947175294
诊断索引,diagnostic index,Diagnosis Index,Diagnostic index,Diagnostic Index,0.903836134,1.000000008,1.000000008
转诊偏倚,referral bias,Referral bias,Transmission bias,Transmitted in dependency,1.000000009,0.647278112,0.423817916
诊断条件偏倚,diagnostic access bias,Diagnosing bias,Diagnostic conditional bias,Diagnostic conditions.,0.748558785,0.83891058,0.722740061
疑诊偏倚,diagnostic suspicion bias,Suspected bias.,Suspicious prejudice,Suspiciously.,0.7756413,0.657108279,0.323409364
早期检测,early detection,Early detection,Early detection,Early testing,0.999999982,0.999999982,0.789595028
早期发现,early discovery,Early detection,Early discoveries,Early discovery.,0.724666689,0.909808102,0.926519144
体格检查,physical examination,Medical examination,Body examination,Physical inspection.,0.83748182,0.81824377,0.772366497
症状,symptoms,Symptoms,Symptoms,Symptoms,1.000000114,1.000000114,1.000000114
体征,sign,Body signs,Syndrome,Signs of,0.624441344,0.183427008,0.704546688
他觉症状,objective symptom,He felt symptoms.,His symptoms,He feels symptoms.,0.557723441,0.660257989,0.565807469
临床检查,clinical examination,Clinical examinations,Clinical examination,Clinical examination,0.957817091,1.000000009,1.000000009
晨间检查,morning inspection,Morning check.,Morning check,Morning inspection.,0.730262768,0.774103081,0.933576651
一般检查,general examination,General inspections,General inspection,General inspection,0.714511296,0.786019521,0.786019521
人体测量,human survey,Anthropometric,Human measuring,Human body measurement,0,0.74776824,0.727927564
性别,sex,Gender,Gender,The gender,0.446201192,0.446201192,0.44121164
年龄,age,Age,Age,The age,0.999999948,0.999999948,0.87401284
病历,case history,Medical records,Chronicle,The disease.,0.584547512,0.392227687,0.590540948
电子病历,"electronic medical record,EMR",Electronic medical records,Electronic medical records,Electronic Disease,0.878531924,0.878531924,0.664263381
病例对照研究,case control study,Case control studies,Case-control studies,Case Control Studies,0.971870447,0.909871425,0.971870447
病史前瞻研究,historical prospective study,Pre-history research,Preliminary study of the history of disease,History of disease research,0.674605369,0.778922756,0.738510904
病史采集,history taking,Medical history collection,Disease history collection,The History of Disease,0.735515947,0.713742257,0.780392566
问诊,inquiry,Medical consultations,Inquiry,Question,0.418146211,1.000000032,0.459323884
问诊方法,the way of inquiry,Method of consultation,Inquiry Method,Method of Question,0.722601307,0.665262704,0.789111756
问诊内容,the content of inquiry,Content of consultations,Consultation Contents,Question Content,0.814474063,0.614517256,0.772188926
一般项目,general data,General items,General projects,General projects,0.661728543,0.679256862,0.679256862
主诉,chief complaint,Principal case,Principal Appeals,The complaint,0.64451711,0.667946981,0.752145798
现病史,history of present illness,Current medical history,History of present disease,History of Disease,0.80883712,0.952905171,0.912983408
既往史,past history,It's history.,History of the past,ever history.,0.773339931,0.902043911,0.821912425
个人史,personal history,Personal history.,Personal history,The personal history,0.933606877,1.000000023,0.950370716
婚姻史,marital history,Marriage history.,Marriage history,History of marriage,0.794955733,0.867794504,0.830745851
月经史,menstrual history,Menstruation history.,Chronicle of the Moon,History of Month,0.875168264,0.509892033,0.626466597
生育史,childbearing history,Fertility history,Family history,The birth history,0.755621871,0.619262203,0.697741121
家族史,family history,Family history.,Family history,Family History,0.934266501,0.999999996,0.999999996
一般情况,general state of health,General,General,General circumstances,0.786434295,0.786434295,0.751505154
视诊,inspection,Medical consultations,Eye examination,The examination,0.43881743,0.49742754,0.512501525
望诊,inspection,Visiting.,Observatory,Expectations,0.241752807,0.225706677,0.210656334
触觉,thigmesthesia,Touch.,Sensing,Touching,0,0,0
触诊,palpation,Intact.,Touch clinic,touched,0.064304338,0.195392174,0.07582545
扪诊,palpation,I'll take care of it.,Procurement,the clinic.,-0.071114435,0.122578096,0.057881872
轻触诊,light touch palpation,Lightly-touched consultations,Light touch clinic,The light touch.,0.460542142,0.7642739,0.711050104
浅部触诊法,light palpation,Asociación convalescence.,Acupuncture,The low touch law.,0.054047782,0.348190633,0.337834547
深部触诊法,deep palpation,Deep-touching method,Deep-touch diagnosis,The Deep Touch Act.,0.517420984,0.553584718,0.446965644
深部滑行触诊法,deep slipping palpation,Deep skids.,Deep-Slide Touch Clinic,Deep sliding touch method.,0.601522922,0.567869144,0.637885709
双手触诊法,bimanual palpation,Hand-to-hand consultations,Hand-to-hand diagnosis,The hand touch.,-0.07122038,-0.026608301,-0.035570269
双手检查,bimanual examination,Check your hands.,Manual examination,Examination of hands.,0.10627023,0.634985579,0.432806294
深插触诊法,deep inserting palpation,Deeply intruded into the method of diagnosis.,Deep-in-touch diagnosis,Deep in the diagnosis.,0.533314276,0.41007907,0.523580156
深压触诊法,deep depress palpation,Deep-tension diagnostic method.,Deep-pressure diagnosis,Deep pressure diagnosis.,0.502169374,0.54693349,0.59327138
冲击触诊法,ballottement,Impact-to-visibility methods,Shock-impact diagnosis,Shock diagnosis.,0,0,0
浮沉触诊法,ballottement,Drift-in-the-hospital treatment.,Floating and sedimentation diagnosis,The Floating Diagnosis,0,0,0
加压触诊法,pressor palpation,Pressure-pressive consultations.,Pressure-touch diagnosis,Pressure diagnosis.,0.03429416,0.151920172,0.221363519
膝肘位触诊法,knee-elbow position palpation,Knee-to-hair consultations,Knee and elbow touch therapy,The knee touch method.,0.612926488,0.782803483,0.653283544
感觉触诊法,sensory palpation,I feel like I'm going through it.,Sensitive diagnosis,Feeling the treatment.,0.070104286,0.501565239,0.26456168
触叩诊,palpatopercussion,Toucho.,Touch and Touch Clinic,Touching the clinic.,0,0,0
痛压测验法,palpatometry,The pain test.,Pain test,The pain test.,0,0,0
叩诊,percussion,I'm going to give you a visit.,Tapping clinic,Clashing,0.091845706,0.332269073,0.317836236
叩诊锤,percussion hammer,The hammer of prostration.,Chopper hammer,The hammer.,0.47241443,0.625902652,0.586625741
间接叩诊法,"indirect percussion,mediate percussion",Indirect protégation,Intermediate tapping,indirect diagnosis.,0.533063189,0.455023283,0.481603217
直接叩诊法,direct percussion,Direct prostration.,Direct tap procedure,Direct diagnosis.,0.442772268,0.541226355,0.489866796
听叩诊法,ausculto-percussion,Listen to the provocateur.,Listening and tapping,Listen to the diagnosis.,0.253451396,0.362981162,0.233728318
拳叩诊法,fist percussion,I'm a boxer.,Fencing therapy,The diagnosis.,0.336885358,0.210570187,0.199235034
叩诊音,percussion sound,Pronunciation.,Clinical sound,The sound.,0.354871061,0.619668383,0.645927348
正常叩诊音,normal percussion sound,It's a normal pronunciation.,Normal clinical tone,Normal screening.,0.580757878,0.634120188,0.495226061
清音,resonance,Clear,Qingyin,The sound,0.211845988,0,0.367413179
反响性叩诊音,resonant percussion note,Responsive pronunciation,Resonant clinical beat,The reactive sound.,0.392798171,0.642261657,0.510728606
浊音,dull ness,Quiet.,Turbidity,The sound,0.381210497,0,0.297885995
鼓音,tympany,Drums,Drum sound,The Tomb,0,0,0
实音,flatness,Solid,Real sound,The true voice,0.166721934,0.122067974,0.123259848
绝对浊音,absolute dullness,It's definitely murky.,Absolute turbidity,Absolute sound.,0.331565886,0.616820802,0.512567236
实性叩响,flat percussion resonance,"The real thing is, the real thing is, the real thing is, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know, the real thing is, you know,",Real-world tapping,Reality shoots.,0.315449516,0.367610858,0.295992634
过清音,hyperresonance,It's clear.,Transcendence,to clear sound.,0,0,0
叩击痛,percussion pain,It's a knockout.,Beating pain,Strike the pain.,0.365493829,0.679283157,0.604818587
听诊,auscultation,Stewardship,Consultation,Hearing,0.00041616,0.066480486,0.139293892
直接听诊法,direct auscultation,Direct stethometry,Direct Consultation,Directly hearing.,0.597417786,0.500041834,0.323313366
间接听诊法,indirect auscultation,Indirect stethology,Intermediate consultation,The indirect hearing.,0.673171046,0.224618606,0.388008957
搔刮听诊法,finger curetting auscultation,Scratch scavenging.,scratching diagnosis,Hearing of the law.,0.184270887,0.444462549,0.150112662
听诊器,stethoscope,Stethoscope,Healing device,the hearing.,1.000000013,0.195102119,0.104827231
木质听诊器,wooden stethoscope,Wood stethoscope,Wooden hearing aid,Wood Hearing Machine,0.899642839,0.578484188,0.496569293
硬质听诊器,rigid stethoscope,Hard stethoscope,Hard hearing aids,Hard hearing system.,0.784891718,0.34159056,0.316624407
电子听诊器,electronic stethoscope,Electronic stethoscope,Electronic hearing aids,Electronic Hearing,0.999999983,0.657932322,0.680127551
嗅诊,olfactory examination,Sniffing.,Sniffing,The smell.,0.289467803,0.270517683,0.375340609
指诊,digital examination,It's a call.,Diagnosis,indicated,0.394204925,0.460854339,0.34865728
体温,body temperature,Temperature,Body temperature,The body temperature,0.843705382,0.999999982,0.956353226
体温调节,"body heat regulation,homoiothermism",Body Temperature,Body temperature regulation,Regulation of body temperature.,0.790829108,0.897328429,0.891729788
体温计,thermometer,Thermometer.,Body thermometer,The body temperature,0.842745261,0.7958992,0.44790735
摄氏温标,Celsius scale,Centigrade Temperature,Centigrade temperature,Chronicle warming,0.702616964,0.702616964,0.301429342
华氏温标,Fahrenheit scale,Fahrenheit.,Ward temperature gauge,Warren is hot.,0.707239498,0.485292333,0.273215133
口腔温度,oral temperature,Oral temperature,Oral temperature,The temperature of the mouth,0.999999999,0.999999999,0.643865138
腋下温度,axillary temperature,Lower armpit temperature,Axillary temperature,down the temperature.,0.757281467,0.729115393,0.49260158
肛门温度,rectal temperature,Anal temperature,Anal temperature,Animal temperature.,0.817802639,0.817802639,0.627754448
摄氏温度计,Celsius thermometer,Centigrade thermometer,Cellular thermometer,The temperature meter.,0.952300828,0.638296652,0.489672269
华氏温度计,Fahrenheit thermometer,Thermometers Fahrenheit,Ward thermometer,The Warsaw Temperature,0.912023322,0.688568129,0.43393254
气体温度计,gas thermometer,Gas thermometer,Gas thermometer,The Gas Temperature,0.999999961,0.999999961,0.798033671
半分钟温度计,half-minute thermometer,Half a minute thermometer.,Semi-minute thermometer,Half minute temperature.,0.879689594,0.901188127,0.81598471
腋窝温度计,axilla thermometer,"Thermometer, armpit.",Axillary temperature meter,The temperature meter.,0.619223171,0.392103438,0.298312983
口腔温度计,oral thermometer,Oral thermometer,Oral thermometer,The mouth temperature.,0.99999999,0.99999999,0.528475748
直肠温度计,rectal thermometer,rectum thermometer,直肠 thermometer,The temperature meter.,0.904359805,0.815064052,0.41923612
记录温度计,recording thermometer,Record thermometers,Recording thermometer,Recording the temperature.,0.739125477,0.999999956,0.707738711
电体温计,electrical thermometer,Thermometer.,Electrostatic thermometer,Electrical Temperature,0.719366002,0.738285296,0.85117494
电子数字体温计,electronic digital thermometer,Electronic digital thermometers,Electronic digital thermometer,Electronic Digital Body Temperature,0.9542237,1.000000059,0.8602691
体温换算公式,conversion formula of body temperature,Temperature conversion formula,Body temperature equation,The body temperature formule.,0.914704354,0.860509157,0.837868848
基础体温测定,assay of basal body temperature,Base body temperature measurements,Base body temperature measurement,Basic body temperature measurement,0.82766543,0.828603655,0.820363099
体温过低,hypothermia,It's hypothermia.,Excessive body temperature,The body temperature is low.,0.569647971,0.418794268,0.279012959
体温曲线,temperature curve,Temperature Curve,Body temperature curve,The body temperature curve.,1.000000026,0.916541567,0.84051214
发热,fever,Heat.,Heat,Heated,0.36182472,0.349148874,0.132858501
热型,pattern of fever,Hot type,Thermal type,The Heat,0.49981225,0.445014032,0.564514418
超高热,ultrahyperpyrexia,It's super hot.,Hyperthermal,Super Heat,0,0,0
过高热,ultrahyperpyrexia,It's too hot.,Overheating,too high heat.,0,0,0
常度下体温,subnormal temperature,Normal hypothermia.,Temperature below normal,Temperature constantly.,0.515758103,0.672381669,0.565114632
高热,hyperpyrexia,High heat.,High Temperature,High Heat,0,0,0
弛张热,remittent fever,It's hot.,Relaxation heat,Relaxed heat.,0.31710043,0.337437966,0.321816688
败血症热,septicemic fever,Hemorrhagic fever.,Sepsis fever,Heat of blood loss.,0.84054269,0.832142283,0.447720732
消耗热,hectic fever,Expendable heat,Consumption of heat,consumption of heat.,0.267467826,0.378498922,0.40140953
稽留热,continued fever,I'm in love with you.,Exercise fever,The Heat.,0.400455049,0.762624398,0.483316025
间歇热,intermittent fever,Intermittent heat.,Intermittent heat,Temporary heat.,0.686879354,0.732234069,0.462005403
周期热,periodic fever,Cycle heat,Periodic heat,The heat cycle.,0.465465954,0.73439228,0.454954559
再发热,recurrene fever,It's hot again.,Restoration of heat,Heat again.,0.328903667,0.287744234,0.381807101
回归热,relapsing fever,Back to the heat.,Regression heat,Back to Heat.,0.195731042,0.255605085,0.214157816
双峰热,double peaked fever,Double peak heat.,Twin Peaks,Two heights.,0.685359859,0.491923417,0.484995767
双相热,biphasic fever,Double heat.,Biphase heat,Double heat.,0.202401574,0.284806153,0.202401574
波状热,undulant fever,Wave-like heat,Wave heat,The Wave Heat,0.368579892,0.373396579,0.364222128
不规则热,irregular fever,Irregular heat.,Irregular heat,Unregular heat.,0.687980306,0.732827263,0.347414219
猫抓热,cat-scratch fever,Cat's hot.,Cat catching heat,The cat gets hot.,0.668979024,0.69083365,0.651799956
长期发热,long-term fever,Long-term fever.,Long-term fever,Long term heating.,0.96701905,1,0.719398682
低热,low grade fever,Low heat.,Low temperature,low heat.,0.69284323,0.677829969,0.69284323
长期低热,long-term low-grade fever,Long-term low heat,Long-term low heat,Long term low heat.,0.880307879,0.880307879,0.79081804
药物热,drug fever,The drug's hot.,Drug heat,The Drug Heat,0.632781876,0.751092421,0.710263963
登革热,dengue fever,Dengue fever,Dengue fever,Dean is hot.,0.999999928,0.999999928,0.205115679
功能性低热,functional low grade fever,Low functional heat,Functional low heat,Functional low heat.,0.799651397,0.799651397,0.79236366
花粉症,hay fever,Powder's disease.,Pollenosis,The pollen disease.,0.464360241,0,0.546187483
热痉挛,heat cramp,Hot spasms.,Thermal spasm,The Heat,0.679493085,0.650454169,0.692621716
热射病,thermoplegia,Heat-emitting disease.,Thermal radiation,Heat shooting.,0,0,0
热适应,acclimatization to heat,Thermal adaptation,Thermal adaptation,The heat adaptation.,0.514269321,0.514269321,0.668741685
热衰竭,heat exhaustion,Heat failure.,Thermal failure,The heat failure.,0.763560224,0.630421271,0.723030579
同理反应,empathic responses,Simultaneous reaction,Symmetry reaction,The same reaction.,0.454311864,0.385813429,0.320473478
他觉症状,objective symptom,He felt symptoms.,His symptoms,He feels symptoms.,0.557723441,0.660257989,0.565807469
低温,hypothermia,It's cold.,Low temperature,The low temperature,0.216874834,0.353222436,0.311452211
平均体温,mean body temperature,Average body temperature,Average body temperature,The average body temperature.,0.923242847,0.923242847,0.905282555
平均皮肤温,mean skin temperature,Average skin temperature,Average skin temperature,The average skin temperature.,0.927019761,0.927019761,0.902425599
临床表现,clinical manifestation,Clinical performance,Clinical manifestations,Clinical performance,0.720646231,0.952276705,0.720646231
主观症状,subjective symptom,Subjective symptoms,Subjective symptoms,The Subjective Symptoms,0.948810333,0.948810333,0.894983462
客观体征,objective sign,Objective body signs,Objective body syndrome,Objective Signs,0.805723725,0.601096629,0.908385825
主要症状,cardinal symptom,Main symptoms,Major Symptoms,The main symptoms.,0.635395374,0.648165568,0.533227403
适应证,indication,Adaptive Certificate,Adaptation certificate,Adaptation Certificate,0.367733827,0.34665026,0.34665026
并发症,complication,Complications,Syndromes,Complications,0.867502405,0.474250818,0.867502405
伴发病,concomitant disease,Accompanies.,Associated diseases,accompanied by disease.,0.325052681,0.829533288,0.636749745
伴随症状,concomitant symptom,Accompanies symptoms.,Concomitant symptoms,accompanied by symptoms.,0.670333359,0.948775333,0.544122257
自觉症状,subjective symptom,Symptoms of self-consciousness.,Consciousness,Conscious symptoms,0.626116798,0.529271637,0.770319155
迟发症状,delayed symptom,Symptoms of late onset,Late onset,Late symptoms.,0.782364426,0.673086364,0.690921483
表现,manifestion,Performance,Performance,The performance,0,0,0
表现型,phenotype,Appearance type,Expression type,The manifestation,0.326998977,0.485181839,0.245162253
表现度,expressivity,Performance,Performance,The performance,0.150172289,0.150172289,0.038869447
寒战,rigor,Cold war.,Cold War,The Cold War,0.136093578,0.143234961,0.151640435
恶病质,cachexia,It's a malignant disease.,Malformations,illnesses,0.180840401,0.361727846,0.300921718
恶液质,cachexia,It's venom.,Malignant fluid,The evil liquid.,-0.071879329,0.364482446,-0.092881704
消瘦,magersucht,Thin.,Losing Thinness,Destroyed,0,0,0
疼痛,pain,Pain.,Pain,The pain,0.877689838,1.000000012,0.890239637
皮肤痛,skin pain,Skin pain.,Skin pain,skin pain.,0.950768652,0.999999992,0.950768652
双重痛感,double pain,Double pain.,Double pain,Double pain.,0.93370176,0.999999953,0.93370176
内脏痛,visceralgia,It hurts in the gut.,Internal pain,internal pain.,0,0,0
深部痛,deep pain,Deep pain.,Deep pain,deep pain.,0.944944712,1.000000127,0.944944712
牵涉痛,referred pain,It's about pain.,Intractable pain,involving pain.,0.719419211,0.748199502,0.809843181
生命,life,Life.,Life,life,0.865087435,1.000000038,1
生命征,vital signs,The vitals.,Signs of life,of life.,0.494686486,0.755271891,0.478076246
生命力,vitality,Life.,Life force,vitality,0.362255561,0.434690415,1
水肿,edema,Water swollen.,Water swelling,water swelling,0.327522011,0.529308354,0.529308354
非凹陷性水肿,non-pitting edema,Non-indentive edema,Non-concave edema,Untouched water.,0.900365022,0.824692052,0.280091789
凹陷性水肿,pitting edema,Dimple edema.,Concave edema,Drawing water.,0.652850932,0.718588194,0.145133544
局限性水肿,localized edema,Restricted water swollen,Limited edema,Limitation of water.,0.442997343,0.821202639,0.21892946
全身性水肿,anasarca,The whole body is swollen.,Systemic edema,The whole body water.,0,0,0
盗汗,night sweat,Sweat theft.,Thieves,The sweat,0.666110003,0.226275962,0.816742885
不适感,malaise,I'm not feeling well.,Incompatibility,Uncomfortable,0.180532646,0.27181001,0.307696329
头晕,dizziness,Dizziness.,Headache,Mistakes,0.856536098,0.763851669,0.162736096
战栗,shivering,Chestnut.,War chestnut,The war.,0.195351432,0.1869566,0.153474833
畏寒,chilly,Fear of the cold.,Fear of cold,frightened,0.44784498,0.516458692,0.307302618
恶臭,offensive odor,It stinks.,Odor,The bad smell.,0.475853599,0.769374465,0.595168056
四肢厥冷,cold limbs,Four limbs cold.,Four-legged coldness,The limbs are cold.,0.876929761,0.662552141,0.83627487
病理状态,pathological state,Pathological state,Pathological condition,The pathological state.,0.999999986,0.786819828,0.880424105
病理过程,pathological process,Pathology process,Pathological processes,The pathological process,0.856160161,0.934387983,0.941720092
病理学,pathology,Pathology,Pathology,The pathology,0.999999914,0.999999914,0.853219242
死亡,death,Death.,Death,Death,0.857025749,1.000000066,1.000000066
临床死亡,clinical death,Clinical death,Clinical death,Clinical Death,1.000000013,1.000000013,1.000000013
病理性死亡,pathological death,Morbid and rational death.,Pathological death,The pathological death.,0.748972373,1.000000013,0.877961219
生物学死亡,biological death,Biological death,Biological death,Biological Death,1.000000012,1.000000012,1.000000012
脑死亡,brain death,Brain death.,Brain death,Death of the brain,0.941359743,1.000000036,0.893232465
扼死,death from manual strangulation,Suffocated.,Suffocation,killed,0.41421257,0.544549984,0.497182859
死亡原因,cause of death,Cause of death,Causes of death,Causes of Death,1.000000029,0.967226008,0.967226008
濒死期,agonal stage,On the verge of death.,Endangered period,Deadly Deadly,0.21003769,0.133461513,0.183721625
濒死伤,agonal trauma,On the verge of death or injury.,Endangered injuries,Deadly injured,0.248703926,0.323060651,0.301019901
溺死,death from drowning,Drown to death.,drowning,drowned,0.814215475,0.800835177,0.65683753
干性溺死,dry drowning,Dry drowning.,Involuntary drowning,Dying to Dying,0.923983899,0.581635192,0.561482247
疾病,disease,Diseases,Diseases,disease,0.901984217,0.901984217,1
主要疾病,principal disease,Main diseases,Major diseases,The main disease.,0.78604262,0.777354759,0.759636883
功能性疾病,functional disease,Functional diseases,Functional disorders,Functional diseases,0.955317929,0.879248587,0.955317929
健康,health,Health,Health,Healthy,0.999999965,0.999999965,0.595884079
亚健康,subhealth,AH,Sub-Health,by health,0,0,0
应激,stress,Stress.,Stress,stressed,0.873859764,1.000000095,0.592601917
定位,localization,Positioning,Positioning,positioning,0.414232874,0.414232874,0.414232874
定型,stereotypy,Stereotyping,Formation,Type of,0.175059493,0.016162275,-0.092386134
查房,ward-round,Checking.,Chamber of Commerce,Check the room.,0.3522719,0.307358064,0.480438959
医嘱,medical order,Doctor's orders.,Medical prescription,The doctor's order,0.761549756,0.85680989,0.791725505
长期医嘱,standing order,Long-term medical advice,Long-term prescription,Long term medical advice.,0.54602128,0.570646054,0.585942653
指征,indication,Pointers,Indication,Indications,0.26723139,0.999999943,0.782458612
指数,index,Index,Index,The Index,1.000000004,1.000000004,0.874648418
代谢,metabolism,Metabolism,Metabolism,Metabolism,1.000000016,1.000000016,1.000000016
代偿,compensation,Indemnity,Refund,compensation,0.572795066,0.462379677,1
出血,hemorrhage,Bleeding.,Bleeding,Blooding,0.545064262,0.674624357,0
溃疡,ulcer,An ulcer.,Ulcers,The ulceration,0.706687289,0.892290885,0.713886662
第一性征,first sex characters,First sign of sex.,First Sexuality Syndrome,The first sex sign.,0.791039011,0.627682124,0.790718099
第二性征,secondary sex characters,Second sex.,Second sexuality disorder,Secondary signs,0.717262312,0.605644317,0.570716178
第三性征,third sex characters,Third sign of sex.,Third sexuality syndrome,The Third Sex Sign,0.788704316,0.62693993,0.805355705
第四性征,fourth sex characters,The fourth sex.,Fourth Sexuality Syndrome,The Fourth Sex,0.824807443,0.62309195,0.85677467
抵抗力,resistance,Resistance,Resistance,Resistance,1.000000009,1.000000009,1.000000009
国际单位制,international system,International unit system,International unit system,The International Unit System,0.916743181,0.916743181,0.895770258
多发性感染,recurrent infection,Multi-exposure infection.,Multiple infections,Multiple infections,0.645586509,0.797294241,0.797294241
双重感染,double infection,Dual Infection,Double infection,Double infection.,0.838593554,0.99999999,0.931539465
交叉感染,cross-infection,Cross-infection,Cross-infection,Cross infection.,1.000000009,1.000000009,0.868426098
局部感染,local infection,Partially infected,Local infection,Local infections,0.612019826,1.00000005,0.954010815
局部损害,local lesion,Local damage,Partial damage,Local damage,0.638157424,0.463713508,0.638157424
局限的,localized,Restricted,limited,The limitation,0.320515221,0.299149904,0.259300423
人体差异,individual difference,Human differences,Human differences,Differences in Human Body,0.709750638,0.709750638,0.69661992
抽样调查,sampling survey,Sample surveys,Sampling,Examples of investigation,0.867141606,0.843255793,0.513596571
发病率,morbidity rate,Incidence,Infection rate,The incidence rate,0.751300944,0.809641652,0.84117868
发病人数,incident number,Number of cases,Number of cases,Number of sick,0.726318501,0.726318501,0.669661758
发病机制,pathogenesis,Incidence mechanism,Pathogenesis,The disease mechanism.,0.544582502,0,0.458571755
循证医学,"evidence-based medicine,EBM",Evidence-based medicine,Evidence-based medicine,Certified Medicine,0.889302287,0.889302287,0.587222254
病因,cause of disease,Cause of illness,Causes,Causes of,0.933766174,0.791387641,0.874941951
病因网,web of causation,Morbidity net,Pathogenic network,The disease network.,0.389820947,0.415655463,0.60589045
病因学,etiology,Morbidity,Pathogenics,The pathology,0.57998249,0,0.527639647
病死率,"case fatality rate,fatality rate",Death rate,Mortality rate,Death rates,0.840494762,0.798294743,0.808772086
暴发,outbreak,An outbreak.,Bullshit,explosion,0.725661246,0.079906713,0.398787001
暴发调查,outbreak survey,The outbreak investigation.,Explosion Investigation,Explosion of investigation,0.747486744,0.519234787,0.53900884
凹陷,pitting,Dimple,Depression,Shaking,0.135003015,0.139721321,0.241040939
凹凸不平,unsmooth,It's a little bumpy.,Concave irregularity,and complaints.,-0.059682417,0.375901687,-0.140452499
肿大,swelling,It's swollen.,Toughness,is big.,0.529128505,0.211122487,0.251007327
肿块,lump,Swollen.,Tumour,The tumor.,0.435992096,0.318353617,0.342252083
轮廓,outline,Outline,Outline,The Conversion,0.999999927,0.999999927,0.316898984
反馈,feedback,Feedback,Feedback,Reviews,1.000000088,1.000000088,0.417379562
负反馈,negative feed back,Negative feedback,Negative feedback,The negative feedback.,0.718156138,0.718156138,0.780021281
发炎,inflammation,Inflammation.,Inflammation,inflammation,0.882768561,0.999999973,1
发作,attack,Outbreaks,Epilepsy,Attack,0.273818401,0.186224645,0.999999973
发现,discovery,Found,Discoveries,Discovered,0.435527825,0.768007215,0.651046381
